CITY,TIMEZONE,LATITUDE,LONGITUDE
Al Araad,Asia/Dubai,23.86471,55.52341
Zor Kot,Asia/Kabul,33.54149,69.73446
Wuleswali Bihsud,Asia/Kabul,34.3436,67.90567
Kuhsan,Asia/Kabul,34.65389,61.19778
Lash,Asia/Kabul,35.3782,64.77457
Tukzar,Asia/Kabul,35.94831,66.42132
Bati,Asia/Kabul,34.24348,70.72855
Miray,Asia/Kabul,33.32462,68.44068
Aq Kupruk,Asia/Kabul,36.08352,66.84029
Zurmat,Asia/Kabul,33.43778,69.02774
Zaybak,Asia/Kabul,36.52947,71.3441
Ziarat-e Shah Maqsud,Asia/Kabul,31.9848,65.4736
Zindah Jan,Asia/Kabul,34.34264,61.74675
Zarghun Shahr,Asia/Kabul,32.84734,68.44573
Zarah Sharan,Asia/Kabul,33.14641,68.79213
Zaranj,Asia/Kabul,30.95962,61.86037
Zamto Kelay,Asia/Kabul,32.3726,66.17708
Yangi Qal'ah,Asia/Kabul,37.46572,69.61131
Bazar-e Yakawlang,Asia/Kabul,34.73525,66.97379
Yahya Khel,Asia/Kabul,32.93742,68.64622
Washer,Asia/Kabul,32.25122,63.85553
Tormay,Asia/Kabul,33.68847,68.40205
Tulak,Asia/Kabul,33.97509,63.72868
Titan,Asia/Kabul,33.69032,63.86361
Tir Pul,Asia/Kabul,34.59431,61.26895
Taywarah,Asia/Kabul,33.52118,64.42116
Bazar-e Tashkan,Asia/Kabul,36.88168,70.27674
Tarinkot,Asia/Kabul,32.62998,65.87806
Taloqan,Asia/Kabul,36.73605,69.53451
Tagaw-Bay,Asia/Kabul,35.69941,66.06164
Tagab,Asia/Kabul,34.85501,69.64917
Markaz-e Hukumat-e Sultan-e Bakwah,Asia/Kabul,32.24139,62.94936
Spin Boldak,Asia/Kabul,31.00575,66.40001
Sperah,Asia/Kabul,33.20204,69.5152
Sozmah Qal'ah,Asia/Kabul,36.09916,66.20823
Siyahgird,Asia/Kabul,35.00553,68.85578
Shewah,Asia/Kabul,34.57169,70.58859
Shindand,Asia/Kabul,33.30294,62.1474
Shaykh Amir Kelay,Asia/Kabul,33.28744,69.91283
Qashqal,Asia/Kabul,35.03975,69.00685
Shibirghan,Asia/Kabul,36.66757,65.7529
Shwak,Asia/Kabul,33.42386,69.37684
Shahr-e Safa,Asia/Kabul,31.80347,66.32376
Shahran,Asia/Kabul,36.97984,70.73928
Shahrak,Asia/Kabul,34.10737,64.3052
'Alaqahdari Shah Joy,Asia/Kabul,32.52154,67.41315
Wuleswali Sayyid Karam,Asia/Kabul,33.69056,69.36881
Markaz-e Sayyidabad,Asia/Kabul,34.00037,68.71346
Sayad,Asia/Kabul,36.13529,65.8297
Sidqabad,Asia/Kabul,35.02298,69.35112
Sayagaz,Asia/Kabul,32.56521,67.03324
Sar-e Tayghan,Asia/Kabul,33.50998,65.67632
Sarobi,Asia/Kabul,34.58962,69.76005
Sar Kani,Asia/Kabul,34.79023,71.10962
Sarfiraz Kala,Asia/Kabul,32.98333,67.96517
Sar-e Pul,Asia/Kabul,36.21544,65.93249
Sar Chakan,Asia/Kabul,35.70177,65.23055
Sangin,Asia/Kabul,32.07275,64.8359
Sang-e Mashah,Asia/Kabul,33.1396,67.44046
Sang-e Charak,Asia/Kabul,35.84972,66.43694
Sang Atesh,Asia/Kabul,35.248,63.0044
Sangar Saray,Asia/Kabul,34.40744,70.63937
Aibak,Asia/Kabul,36.26468,68.01551
Ru-ye Sang,Asia/Kabul,35.31999,67.63387
Rudbar,Asia/Kabul,30.15,62.6
Rustaq,Asia/Kabul,37.12604,69.83045
Rabat-e Sangi-ye Pa'in,Asia/Kabul,34.79951,62.13917
Ramak,Asia/Kabul,33.52234,68.6264
Qurghan,Asia/Kabul,36.91939,65.0649
Quchanghi,Asia/Kabul,34.06183,66.27801
Qaisar,Asia/Kabul,35.68747,64.29318
Qarqin,Asia/Kabul,37.41853,66.04358
Qarghah'i,Asia/Kabul,34.55402,70.24292
Qarchi Gak,Asia/Kabul,37.03999,66.78891
Qarawul,Asia/Kabul,37.21959,68.7802
Qarah Bagh,Asia/Kabul,34.94023,61.77589
Qarah Bagh,Asia/Kabul,33.19801,68.10798
Qala i Naw,Asia/Kabul,34.98735,63.12891
Qal'ah-ye Kuf,Asia/Kabul,38.04119,70.47298
Qal'ah-ye Kuhnah,Asia/Kabul,32.61591,63.66681
Qal'ah-ye Shahr,Asia/Kabul,35.54729,65.5676
Qalat,Asia/Kabul,32.10575,66.90833
Qal'ah-ye Shahi,Asia/Kabul,34.64921,70.5914
Qadis,Asia/Kabul,34.8085,63.43003
Parun,Asia/Kabul,35.42064,70.92261
Pul-e Khumri,Asia/Kabul,35.94458,68.71512
Pul-e 'Alam,Asia/Kabul,33.99529,69.02274
Pasnay,Asia/Kabul,35.76664,65.76486
Pashmul,Asia/Kabul,31.5572,65.4343
Pasaband,Asia/Kabul,33.68956,64.8531
Panjab,Asia/Kabul,34.38795,67.02327
Paghman,Asia/Kabul,34.58787,68.95091
Omnah,Asia/Kabul,32.90029,68.79627
Obeh,Asia/Kabul,34.36972,63.17639
Uruzgan,Asia/Kabul,32.92775,66.63253
Urgun,Asia/Kabul,32.9515,69.1828
Nusay,Asia/Kabul,38.4435,70.80413
Nurgal,Asia/Kabul,34.61341,70.76498
Now Zad,Asia/Kabul,32.40315,64.46959
Nili,Asia/Kabul,33.72178,66.13023
Nayak,Asia/Kabul,34.73414,66.95292
Nayak,Asia/Kabul,32.5723,66.77403
Now Dahanak,Asia/Kabul,35.62398,70.00511
Okak,Asia/Kabul,33.89793,67.95652
Naray,Asia/Kabul,35.21995,71.52284
Narang,Asia/Kabul,34.76009,71.04738
Nikeh,Asia/Kabul,33.18934,69.27179
Nahrin,Asia/Kabul,36.0649,69.13343
Hukumat-e Nad 'Ali,Asia/Kabul,31.64286,64.23982
Musa Qal'ah,Asia/Kabul,32.44565,64.74486
Bala Murghab,Asia/Kabul,35.58408,63.32886
Muqer,Asia/Kabul,32.82009,67.76934
Muhammad Aghah Wuluswali,Asia/Kabul,34.21422,69.10026
Mizan 'Alaqahdari,Asia/Kabul,32.17635,66.51271
Mir Bachah Kot,Asia/Kabul,34.74999,69.11899
Miran,Asia/Kabul,34.22037,68.31259
Mirabad,Asia/Kabul,30.43624,61.8383
Maymana,Asia/Kabul,35.92139,64.78361
Maidan Khulah,Asia/Kabul,33.64916,69.7812
Mingajik,Asia/Kabul,37.0279,66.12817
Mehtar Lam,Asia/Kabul,34.67139,70.20944
Mazar-e Sharif,Asia/Kabul,36.70904,67.11087
Maymay,Asia/Kabul,38.40856,71.03839
Muta Khan,Asia/Kabul,33.24001,68.8663
Mashhad,Asia/Kabul,36.81665,70.10211
Mardian,Asia/Kabul,36.99252,66.29654
Mandol,Asia/Kabul,35.28403,70.17017
Mama Khel,Asia/Kabul,34.24494,69.9968
Lashkar Gah,Asia/Kabul,31.59382,64.37161
Lash-e Juwayn,Asia/Kabul,31.71382,61.62272
Larkird,Asia/Kabul,35.48936,66.66409
La'l,Asia/Kabul,34.50141,66.27997
Kushk,Asia/Kabul,33.29565,61.95221
Kotowal,Asia/Kabul,34.10319,70.46073
Kushk-e Kuhnah,Asia/Kabul,34.8711,62.54762
Kuran wa Munjan,Asia/Kabul,36.02866,70.77258
Kunduz,Asia/Kabul,36.72895,68.857
Khoshi,Asia/Kabul,33.99916,69.21582
Khoshamand,Asia/Kabul,32.68567,68.23801
Khwajah Ghar,Asia/Kabul,37.06588,69.42126
Khwajah Du Koh,Asia/Kabul,36.82881,65.62432
Deh Khwahan,Asia/Kabul,37.88965,70.21875
Khulbisat,Asia/Kabul,33.4948,70.00605
Khugyani,Asia/Kabul,31.56267,66.5814
Khost,Asia/Kabul,33.33951,69.92041
Khulm,Asia/Kabul,36.69736,67.69826
Khudaydad Khel,Asia/Kabul,35.17835,67.68758
Khinjan,Asia/Kabul,35.58908,68.90093
Khinj,Asia/Kabul,35.42898,69.73482
Khash,Asia/Kabul,31.52919,62.79055
Khan Neshin,Asia/Kabul,30.5488,63.7888
Khanaqah,Asia/Kabul,36.62587,69.53695
Chahar Bagh,Asia/Kabul,37.00108,65.22392
Khandud,Asia/Kabul,36.95127,72.318
Khanaqah,Asia/Kabul,36.86279,66.16656
Khanabad,Asia/Kabul,36.68304,69.11279
Khamyab,Asia/Kabul,37.5275,65.75833
Khakiran,Asia/Kabul,32.8385,67.07377
Kazhah,Asia/Kabul,34.24088,70.18274
Kishk-e Nakhud,Asia/Kabul,31.62519,65.05511
Karukh,Asia/Kabul,34.48108,62.5863
Kanday,Asia/Kabul,34.9536,70.77897
Kandahar,Asia/Kabul,31.61332,65.71013
Kalan Deh,Asia/Kabul,33.83676,68.40233
Kalakan,Asia/Kabul,34.78371,69.15001
Kalafgan,Asia/Kabul,36.77226,69.94489
Kajran,Asia/Kabul,33.20357,65.47311
Ka'i,Asia/Kabul,34.12819,70.71828
Kabul,Asia/Kabul,34.52813,69.17233
Jurm,Asia/Kabul,36.86477,70.83421
Jawand,Asia/Kabul,35.06361,64.14917
Jani Khel,Asia/Kabul,32.76315,68.39722
Jalrez,Asia/Kabul,34.4708,68.65438
Jalalabad,Asia/Kabul,34.42647,70.45153
Jabal os Saraj,Asia/Kabul,35.11833,69.23778
Hukumat-e Shinkai,Asia/Kabul,31.98303,67.33558
Herat,Asia/Kabul,34.34817,62.19967
Haji Khel,Asia/Kabul,35.10922,69.43341
Hafiz Moghul,Asia/Kabul,37.05643,70.40061
Hafizan,Asia/Kabul,34.28665,70.37247
Guzarah,Asia/Kabul,34.21223,62.21235
Goshtah,Asia/Kabul,34.35822,70.76264
Gomal Kelay,Asia/Kabul,32.50989,68.85598
'Alaqahdari Gelan,Asia/Kabul,32.72692,67.63696
Ghoriyan,Asia/Kabul,34.3448,61.49321
Ghormach,Asia/Kabul,35.73062,63.78264
Ghurayd Gharame,Asia/Kabul,36.5222,70.79063
Ghazni,Asia/Kabul,33.55391,68.42096
Gereshk,Asia/Kabul,31.82089,64.57005
Gardez,Asia/Kabul,33.59744,69.22592
Fayzabad,Asia/Kabul,37.11664,70.58002
Faizabad,Asia/Kabul,36.82091,66.45921
Fayzabad,Asia/Kabul,36.29111,64.86222
Qal'ah-ye Farsi,Asia/Kabul,33.78529,63.24735
Farkhar,Asia/Kabul,36.57288,69.85783
Farah,Asia/Kabul,32.37451,62.11638
Istalif,Asia/Kabul,34.83268,69.07756
Kafir Qala,Asia/Kabul,34.66667,61.06667
Injil,Asia/Kabul,34.30157,62.2465
Imam Sahib,Asia/Kabul,37.18897,68.93644
Doshi,Asia/Kabul,35.60918,68.68473
Dowlatyar,Asia/Kabul,34.55132,65.79302
Dowlat Shah,Asia/Kabul,34.9504,70.07102
Dowlatabad,Asia/Kabul,36.98821,66.82069
Dowlatabad,Asia/Kabul,36.43259,64.92071
Du Qal'ah,Asia/Kabul,32.14237,61.4469
Duab,Asia/Kabul,35.56277,67.82191
De Narkhel Kelay,Asia/Kabul,32.43205,65.63484
Dehi,Asia/Kabul,35.95806,67.27998
Deh-e Salah,Asia/Kabul,35.69031,69.31511
Deh-e Now,Asia/Kabul,34.74767,69.04784
Dehdadi,Asia/Kabul,36.66319,66.99339
Dwah Manday,Asia/Kabul,33.28159,69.58531
Dasht-e Qal'ah,Asia/Kabul,37.1539,69.4435
Dasht-e Qal'ah,Asia/Kabul,33.02978,63.8395
Dasht-e Archi,Asia/Kabul,37.13333,69.16667
Darzab,Asia/Kabul,35.97744,65.37828
Markaz-e Hukumat-e Darweshan,Asia/Kabul,31.13231,64.1934
Darqad,Asia/Kabul,37.38414,69.45294
Darayim,Asia/Kabul,36.86667,70.38333
Dangam,Asia/Kabul,34.99249,71.41935
Dandar,Asia/Kabul,34.79095,69.47504
Hukumati Dahanah-ye Ghori,Asia/Kabul,35.90617,68.48869
Tsowkey,Asia/Kabul,34.69246,70.92688
Chiras,Asia/Kabul,35.41674,65.98234
Chisht-e Sharif,Asia/Kabul,34.34731,63.73966
Chinar,Asia/Kabul,32.01583,65.10721
Chimtal,Asia/Kabul,36.67818,66.80325
Charkh,Asia/Kabul,33.79712,68.93749
Charikar,Asia/Kabul,35.01361,69.17139
Dowr-e Rabat,Asia/Kabul,36.69132,68.79093
Tsaperai,Asia/Kabul,33.83003,69.9192
Tsamkani,Asia/Kabul,33.80298,69.81671
Chakaray,Asia/Kabul,34.34099,69.4377
Chakaran,Asia/Kabul,36.91112,71.0688
Chahar Qal'ah,Asia/Kabul,33.55267,68.29828
Chahar Burj,Asia/Kabul,34.24475,62.19165
Chah Ab,Asia/Kabul,37.39773,69.81464
Fayroz Koh,Asia/Kabul,34.51952,65.25093
Bulolah,Asia/Kabul,34.87706,68.0879
Bal Chiragh,Asia/Kabul,35.84026,65.2309
Bazar-e Talah,Asia/Kabul,35.39205,68.22317
Basawul,Asia/Kabul,34.24749,70.87218
Burkah,Asia/Kabul,36.22242,69.15037
Barg-e Matal,Asia/Kabul,35.67283,71.34339
Baraki Barak,Asia/Kabul,33.96744,68.9492
Banu,Asia/Kabul,35.63348,69.26019
Bamyan,Asia/Kabul,34.82156,67.82734
Balkh,Asia/Kabul,36.75635,66.8972
Baharak,Asia/Kabul,37.00254,70.90664
Bagrami,Asia/Kabul,34.49376,69.27427
Baghlan,Asia/Kabul,36.13068,68.70829
Hukumati Azrah,Asia/Kabul,34.17355,69.64573
Art Khwajah,Asia/Kabul,37.08571,69.47958
'Alaqahdari Atghar,Asia/Kabul,31.73506,67.3574
Asmar,Asia/Kabul,35.03333,71.35809
Ashkasham,Asia/Kabul,36.68333,71.53333
Asadabad,Asia/Kabul,34.87311,71.14697
Arghestan,Asia/Kabul,31.55981,66.48926
Aqchah,Asia/Kabul,36.905,66.18341
Andkhoy,Asia/Kabul,36.95293,65.12376
'Unabah,Asia/Kabul,35.23251,69.37719
Anar Darah,Asia/Kabul,32.7587,61.65397
Amanzi,Asia/Kabul,30.21144,66.04765
'Alaqahdari-ye Almar,Asia/Kabul,35.84616,64.53074
'Ali Sher 'Alaqahdari,Asia/Kabul,33.4362,70.06711
Wuluswali 'Alingar,Asia/Kabul,34.83529,70.3593
'Ali Khel,Asia/Kabul,33.94253,69.71908
'Alaqahdari Yosuf Khel,Asia/Kabul,33.05195,68.65
'Alaqahdari Dishu,Asia/Kabul,30.43206,63.29802
Alah Say,Asia/Kabul,34.8965,69.72049
Pachir wa Agam,Asia/Kabul,34.20011,70.27806
Afaqi,Asia/Kabul,36.66172,69.35095
Adraskan,Asia/Kabul,33.64573,62.26959
Ab-e Kamari,Asia/Kabul,35.08796,63.0678
Khadir,Asia/Kabul,33.92232,65.93398
Ghulam 'Ali,Asia/Kabul,34.95076,69.2287
Qarah Bagh Bazar,Asia/Kabul,34.8529,69.17062
Zargaran,Asia/Kabul,34.78764,69.05878
Surkh Bilandi,Asia/Kabul,34.68474,69.02863
Pul-e Sangi,Asia/Kabul,34.59972,69.25993
Langar,Asia/Kabul,35.99474,68.05081
Bagh-e Maidan,Asia/Kabul,35.22156,69.21397
Ibrahim Khan,Asia/Kabul,35.05352,69.25654
Qaranghu Toghai,Asia/Kabul,37.21528,67.63972
Bazarak,Asia/Kabul,35.31292,69.51519
Sherwani-ye Bala,Asia/Kabul,35.01468,69.59934
Kiraman,Asia/Kabul,35.2973,69.68125
'Alaqahdari Sarobi,Asia/Kabul,32.79331,69.0866
Ziruk `Alaqahdari,Asia/Kabul,33.15806,69.31278
Kushkak,Asia/Kabul,32.28991,61.52194
Khayr Kot,Asia/Kabul,32.85355,68.44971
Chowney,Asia/Kabul,33.38278,66.27233
Wutahpur,Asia/Kabul,34.91914,71.09863
Karbori,Asia/Kabul,34.96597,71.2746
Sultanpur-e 'Ulya,Asia/Kabul,34.41204,70.29634
Baba Sahib,Asia/Kabul,31.66144,65.66098
Chandal Ba'i,Asia/Kabul,34.58469,68.95524
Dahan-e Jarf,Asia/Kabul,34.92891,68.46273
Maydanshakhr,Asia/Kabul,34.39561,68.86618
Du Lainah,Asia/Kabul,34.15599,64.78566
Qaram Qol,Asia/Kabul,36.83006,65.04299
Pul-e Hisar,Asia/Kabul,35.61794,69.47134
Lab-Sar,Asia/Kabul,36.02634,66.83799
Taqchah Khanah,Asia/Kabul,36.61922,69.62805
March,Asia/Kabul,37.52845,70.4482
Ziraki,Asia/Kabul,37.59233,70.55814
`Aliabad,Asia/Kabul,36.52115,68.89985
Pas Pul,Asia/Kabul,37.47355,70.61617
Qal'ah-ye Na'im,Asia/Kabul,34.39951,69.16705
Markaz-e Woluswali-ye Achin,Asia/Kabul,34.12583,70.70778
Manogay,Asia/Kabul,34.99015,70.91302
Ster Giyan,Asia/Kabul,32.97704,69.37308
Sharan,Asia/Kabul,33.17568,68.73045
Salam Khel,Asia/Kabul,33.67067,69.32983
Swetes,America/Antigua,17.05037,-61.80091
Saint John's,America/Antigua,17.12096,-61.84329
Potters Village,America/Antigua,17.11337,-61.81962
Piggotts,America/Antigua,17.11667,-61.8
Parham,America/Antigua,17.09682,-61.77046
Old Road,America/Antigua,17.01682,-61.83579
Liberta,America/Antigua,17.04141,-61.79052
Freetown,America/Antigua,17.04791,-61.70332
Falmouth,America/Antigua,17.02741,-61.78136
English Harbour Town,America/Antigua,17.01637,-61.7674
Codrington,America/Antigua,17.6394,-61.82437
Cedar Grove,America/Antigua,17.16225,-61.8178
Carlisle,America/Antigua,17.13226,-61.80356
Bolands,America/Antigua,17.06565,-61.87466
All Saints,America/Antigua,17.06671,-61.79303
West End Village,America/Anguilla,18.17191,-63.14941
The Valley,America/Anguilla,18.21704,-63.05783
The Quarter,America/Anguilla,18.20799,-63.04178
Farrington,America/Anguilla,18.215,-63.02238
Stoney Ground,America/Anguilla,18.22026,-63.04607
South Hill Village,America/Anguilla,18.19201,-63.08779
Sandy Ground Village,America/Anguilla,18.20118,-63.08998
North Side,America/Anguilla,18.22919,-63.04401
North Hill Village,America/Anguilla,18.20542,-63.07847
Island Harbour,America/Anguilla,18.25601,-63.0102
George Hill,America/Anguilla,18.19939,-63.0665
East End Village,America/Anguilla,18.23333,-63.0
Blowing Point Village,America/Anguilla,18.17648,-63.09375
Sandy Hill,America/Anguilla,18.22104,-63.01329
Xarre,Europe/Tirane,39.72833,20.05444
Sarande,Europe/Tirane,39.87534,20.00477
Mesopotam,Europe/Tirane,39.91028,20.09222
Markat,Europe/Tirane,39.73278,20.19528
Livadhja,Europe/Tirane,39.78917,20.12194
Konispol,Europe/Tirane,39.65889,20.18139
Kakavije,Europe/Tirane,39.90778,20.35833
Finiq,Europe/Tirane,39.90639,20.05833
Dhiver,Europe/Tirane,39.83611,20.16861
Delvine,Europe/Tirane,39.95111,20.09778
Aliko,Europe/Tirane,39.85861,20.07917
Bucimas,Europe/Tirane,40.89139,20.68139
Zgerbonje,Europe/Tirane,40.58639,20.08722
Zerqan,Europe/Tirane,41.50222,20.36056
Zavaline,Europe/Tirane,40.98083,20.28083
Zapod,Europe/Tirane,42.05056,20.5525
Zall-Rec,Europe/Tirane,41.87611,20.32
Zall-Dardhe,Europe/Tirane,41.80667,20.33611
Xiber-Murrize,Europe/Tirane,41.45472,20.02556
Vreshtas,Europe/Tirane,40.79694,20.77694
Voskopoje,Europe/Tirane,40.63306,20.58889
Voskop,Europe/Tirane,40.61194,20.69028
Vodice,Europe/Tirane,40.67667,20.00861
Vithkuq,Europe/Tirane,40.525,20.5825
Vithkuq,Europe/Tirane,40.20472,20.25944
Vertop,Europe/Tirane,40.62889,20.05389
Vergo,Europe/Tirane,40.00667,20.00889
Vendresha e Vogel,Europe/Tirane,40.50722,20.13472
Velcan,Europe/Tirane,40.95472,20.46222
Ujmisht,Europe/Tirane,41.90833,20.34694
Udenisht,Europe/Tirane,40.96333,20.63917
Tunje,Europe/Tirane,40.83417,20.11194
Tregan,Europe/Tirane,41.02472,20.07833
Trebisht-Mucine,Europe/Tirane,41.41111,20.53556
Trebinje,Europe/Tirane,40.91333,20.55306
Topojan,Europe/Tirane,40.37722,20.21333
Tomor i Madh,Europe/Tirane,40.69667,20.10194
Tomin,Europe/Tirane,41.69083,20.42167
Tepelene,Europe/Tirane,40.29583,20.01917
Surroj,Europe/Tirane,41.99222,20.34417
Sult,Europe/Tirane,40.88472,20.09944
Suke,Europe/Tirane,40.37528,20.15472
Suc,Europe/Tirane,41.57694,20.05139
Stravaj,Europe/Tirane,41.00528,20.42306
Stebleve,Europe/Tirane,41.33722,20.47
Sllove,Europe/Tirane,41.80111,20.40833
Skore,Europe/Tirane,40.10722,20.36639
Skenderbegas,Europe/Tirane,40.77611,20.24056
Shushice,Europe/Tirane,41.0975,20.14833
Shupenze,Europe/Tirane,41.53,20.42361
Shtiqen,Europe/Tirane,42.04056,20.43417
Shishtavec,Europe/Tirane,41.98,20.60583
Shirgjan,Europe/Tirane,41.05194,20.05333
Shengjin,Europe/Tirane,41.92611,20.18833
Shenmeri,Europe/Tirane,42.10417,20.23833
Selishte,Europe/Tirane,41.6275,20.27917
Saraqinishte,Europe/Tirane,40.10528,20.22944
Rukaj,Europe/Tirane,41.68361,20.01917
Rajce,Europe/Tirane,41.09028,20.57639
Qukes-Skenderbe,Europe/Tirane,41.08389,20.43806
Qukes-Shkumbin,Europe/Tirane,41.09333,20.44778
Qestorat,Europe/Tirane,40.1175,20.19972
Qereshnik,Europe/Tirane,40.76333,20.00972
Qafemal,Europe/Tirane,42.09333,20.09056
Perrenjas-Fshat,Europe/Tirane,41.06667,20.53528
Perrenjas,Europe/Tirane,41.07306,20.54889
Proptisht,Europe/Tirane,40.98611,20.5025
Proger,Europe/Tirane,40.69417,20.94028
Potom,Europe/Tirane,40.48833,20.37333
Porocan,Europe/Tirane,40.94194,20.29861
Polis-Gostime,Europe/Tirane,41.13333,20.25833
Polican,Europe/Tirane,40.61222,20.09806
Pojan,Europe/Tirane,40.72583,20.8375
Pogradec,Europe/Tirane,40.9025,20.6525
Pishaj,Europe/Tirane,40.88111,20.18278
Pirg,Europe/Tirane,40.785,20.70611
Gjinkar,Europe/Tirane,40.19944,20.40611
Petran,Europe/Tirane,40.20944,20.41833
Peshkopi,Europe/Tirane,41.685,20.42889
Permet,Europe/Tirane,40.23361,20.35167
Ostreni i Math,Europe/Tirane,41.43083,20.45556
Orosh,Europe/Tirane,41.83333,20.08333
Orenje,Europe/Tirane,41.28472,20.21194
Odrie,Europe/Tirane,40.13333,20.16667
Novosele,Europe/Tirane,40.76139,20.69833
Picar,Europe/Tirane,40.16667,20.04833
Mollas,Europe/Tirane,40.92694,20.00361
Mollas,Europe/Tirane,40.42556,20.67444
Mollaj,Europe/Tirane,40.56028,20.74028
Miras,Europe/Tirane,40.50917,20.92833
Melan,Europe/Tirane,41.65417,20.46528
Mbrakull,Europe/Tirane,40.62917,20.06667
Mborje,Europe/Tirane,40.60333,20.80306
Martanesh,Europe/Tirane,41.4,20.2
Maqellare,Europe/Tirane,41.58889,20.48306
Maliq,Europe/Tirane,40.70583,20.69972
Malinat,Europe/Tirane,40.61194,20.03278
Macukull,Europe/Tirane,41.68861,20.11028
Lunik,Europe/Tirane,41.28917,20.32361
Llugaj,Europe/Tirane,42.34139,20.10861
Lis,Europe/Tirane,41.6275,20.08528
Liqenas,Europe/Tirane,40.78667,20.90222
Librazhd,Europe/Tirane,41.17944,20.315
Libonik,Europe/Tirane,40.70444,20.70861
Libohove,Europe/Tirane,40.03111,20.26306
Leskovik,Europe/Tirane,40.15139,20.59722
Leshnje,Europe/Tirane,40.53694,20.31333
Lenias,Europe/Tirane,40.76667,20.39139
Lekas,Europe/Tirane,40.60222,20.5125
Lazarat,Europe/Tirane,40.04667,20.1475
Labinot-Mal,Europe/Tirane,41.20083,20.15222
Labinot-Fushe,Europe/Tirane,41.14056,20.14611
Kushove,Europe/Tirane,40.78889,20.18889
Kurbnesh,Europe/Tirane,41.77972,20.08361
Kukur,Europe/Tirane,40.86778,20.36361
Kukes,Europe/Tirane,42.07694,20.42194
Kthella e Eperme,Europe/Tirane,41.81194,20.05889
Krume,Europe/Tirane,42.19694,20.41333
Korce,Europe/Tirane,40.61861,20.78083
Kolsh,Europe/Tirane,42.07806,20.34194
Kodovjat,Europe/Tirane,40.80556,20.25111
Klos,Europe/Tirane,41.50694,20.08667
Klos,Europe/Tirane,40.94611,20.00972
Kelcyre,Europe/Tirane,40.31306,20.18944
Kastriot,Europe/Tirane,41.72944,20.37722
Kardhiq,Europe/Tirane,40.12167,20.0275
Kapinove,Europe/Tirane,40.63611,20.12056
Kalis,Europe/Tirane,41.83889,20.36667
Iballe,Europe/Tirane,42.1875,20.0025
Hotolisht,Europe/Tirane,41.15667,20.39722
Hocisht,Europe/Tirane,40.60833,20.91417
Gramsh,Europe/Tirane,40.86972,20.18444
Gostime,Europe/Tirane,41.14556,20.24
Golaj,Europe/Tirane,42.2475,20.38028
Gjorica e Siperme,Europe/Tirane,41.53444,20.45
Gjirokaster,Europe/Tirane,40.07583,20.13889
Gjinar,Europe/Tirane,41.0225,20.18889
Gjinaj,Europe/Tirane,42.11806,20.43583
Gjergjan,Europe/Tirane,41.04306,20.02972
Gjegjan,Europe/Tirane,41.93778,20.01111
Fushe-Muhurr,Europe/Tirane,41.67972,20.33139
Fushe-Lure,Europe/Tirane,41.80611,20.23194
Fushe-Cidhne,Europe/Tirane,41.76056,20.34111
Fushe-Bulqize,Europe/Tirane,41.52194,20.28222
Fushe-Arrez,Europe/Tirane,42.06222,20.01667
Frasher,Europe/Tirane,40.36889,20.42444
Fierze,Europe/Tirane,42.26056,20.01694
Fajze,Europe/Tirane,42.16694,20.35083
Erseke,Europe/Tirane,40.33778,20.67889
Elbasan,Europe/Tirane,41.1125,20.08222
Drenove,Europe/Tirane,40.58333,20.79222
